Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-26,MIL,PHI,N/A,N/A,N/A,N/A,False
2023-10-29,MIL,ATL,N/A,N/A,N/A,N/A,False
2023-10-30,MIL,MIA,N/A,N/A,N/A,N/A,False
2023-11-01,MIL,TOR,5:31,5,1,0,False
2023-11-03,MIL,NYK,N/A,N/A,N/A,N/A,False
2023-11-06,MIL,BRK,N/A,N/A,N/A,N/A,False
2023-11-08,MIL,DET,N/A,N/A,N/A,N/A,False
2023-11-09,MIL,IND,N/A,N/A,N/A,N/A,False
2023-11-11,MIL,ORL,3:53,0,0,0,False
2023-11-13,MIL,CHI,N/A,N/A,N/A,N/A,False
2023-11-15,MIL,TOR,N/A,N/A,N/A,N/A,False
2023-11-17,MIL,CHO,N/A,N/A,N/A,N/A,False
2023-11-18,MIL,DAL,N/A,N/A,N/A,N/A,False
2023-11-20,MIL,WAS,N/A,N/A,N/A,N/A,False
2023-11-22,MIL,BOS,N/A,N/A,N/A,N/A,False
2023-11-24,MIL,WAS,N/A,N/A,N/A,N/A,False
2023-11-26,MIL,POR,N/A,N/A,N/A,N/A,False
2023-11-28,MIL,MIA,N/A,N/A,N/A,N/A,False
2023-11-30,MIL,CHI,N/A,N/A,N/A,N/A,False
2023-12-02,MIL,ATL,N/A,N/A,N/A,N/A,False
2023-12-05,MIL,NYK,2:29,0,0,2,False
2023-12-07,MIL,IND,N/A,N/A,N/A,N/A,False
2023-12-11,MIL,CHI,N/A,N/A,N/A,N/A,False
2023-12-13,MIL,IND,N/A,N/A,N/A,N/A,False
2023-12-16,MIL,DET,9:03,2,0,3,False
2023-12-17,MIL,HOU,0:17,0,0,0,False
2023-12-19,MIL,SAS,N/A,N/A,N/A,N/A,False
2023-12-21,MIL,ORL,N/A,N/A,N/A,N/A,False
2023-12-23,MIL,NYK,0:20,0,0,0,False
2023-12-25,MIL,NYK,N/A,N/A,N/A,N/A,False
2023-12-27,MIL,BRK,1:23,2,1,1,False
2023-12-29,MIL,CLE,N/A,N/A,N/A,N/A,False
2024-01-01,MIL,IND,N/A,N/A,N/A,N/A,False
2024-01-03,MIL,IND,1:56,0,1,1,False
2024-01-04,MIL,SAS,N/A,N/A,N/A,N/A,False
2024-01-06,MIL,HOU,N/A,N/A,N/A,N/A,False
2024-01-08,MIL,UTA,14:39,6,0,2,False
2024-01-11,MIL,BOS,8:54,2,1,2,False
2024-01-13,MIL,GSW,0:31,0,0,0,False
2024-01-14,MIL,SAC,N/A,N/A,N/A,N/A,False
2024-01-17,MIL,CLE,8:38,0,0,1,False
2024-01-20,MIL,DET,N/A,N/A,N/A,N/A,False
2024-01-22,MIL,DET,N/A,N/A,N/A,N/A,False
2024-01-24,MIL,CLE,N/A,N/A,N/A,N/A,False
2024-01-26,MIL,CLE,N/A,N/A,N/A,N/A,False
2024-01-27,MIL,NOP,1:47,0,0,1,False
2024-01-29,MIL,DEN,N/A,N/A,N/A,N/A,False
2024-01-31,MIL,POR,N/A,N/A,N/A,N/A,False
2024-02-03,MIL,DAL,N/A,N/A,N/A,N/A,False
2024-02-04,MIL,UTA,0:35,0,0,0,False
2024-02-06,MIL,PHO,N/A,N/A,N/A,N/A,False
2024-02-08,MIL,MIN,N/A,N/A,N/A,N/A,False
2024-02-09,MIL,CHO,N/A,N/A,N/A,N/A,False
2024-02-12,MIL,DEN,2:12,0,0,1,False
2024-02-13,MIL,MIA,N/A,N/A,N/A,N/A,False
2024-02-15,MIL,MEM,N/A,N/A,N/A,N/A,False
2024-02-23,MIL,MIN,N/A,N/A,N/A,N/A,False
2024-02-25,MIL,PHI,N/A,N/A,N/A,N/A,False
2024-02-27,MIL,CHO,6:26,0,1,1,False
2024-02-29,MIL,CHO,N/A,N/A,N/A,N/A,False
2024-03-01,MIL,CHI,N/A,N/A,N/A,N/A,False
2024-03-04,MIL,LAC,N/A,N/A,N/A,N/A,False
2024-03-06,MIL,GSW,N/A,N/A,N/A,N/A,False
2024-03-08,MIL,LAL,N/A,N/A,N/A,N/A,False
2024-03-10,MIL,LAC,N/A,N/A,N/A,N/A,False
2024-03-12,MIL,SAC,N/A,N/A,N/A,N/A,False
2024-03-14,MIL,PHI,N/A,N/A,N/A,N/A,False
2024-03-17,MIL,PHO,N/A,N/A,N/A,N/A,False
2024-03-20,MIL,BOS,N/A,N/A,N/A,N/A,False
2024-03-21,MIL,BRK,N/A,N/A,N/A,N/A,False
2024-03-24,MIL,OKC,3:13,2,0,0,False
2024-03-26,MIL,LAL,N/A,N/A,N/A,N/A,False
2024-03-28,MIL,NOP,N/A,N/A,N/A,N/A,False
2024-03-30,MIL,ATL,N/A,N/A,N/A,N/A,False
2024-04-02,MIL,WAS,N/A,N/A,N/A,N/A,False
2024-04-03,MIL,MEM,N/A,N/A,N/A,N/A,False
2024-04-05,MIL,TOR,N/A,N/A,N/A,N/A,False
2024-04-07,MIL,NYK,1:10,0,0,0,False
2024-04-09,MIL,BOS,0:27,0,0,0,False
2024-04-10,MIL,ORL,3:01,1,0,1,False
2024-04-12,MIL,OKC,14:04,6,0,5,False
2024-04-14,MIL,ORL,N/A,N/A,N/A,N/A,False
